"connectionType","headline","name","photoUrl","profileId","profileUrl","reactionType"
"1st","Creative Director | Designer","Paul Westergard","https://media.licdn.com/dms/image/v2/D5603AQHlOVLXPhKvwA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1707196742765?e=1756944000&v=beta&t=5nHKs_dyeSsH_COfbKjfFohiR3m5zHtH-gScZyohX0o","ACoAAAEr_9IB8kIE-Bd6lKE3OnrrrZCZ9FF3Qok","https://www.linkedin.com/in/ACoAAAEr_9IB8kIE-Bd6lKE3OnrrrZCZ9FF3Qok","LIKE"
"1st","Executive Creative Director at Intuit","Christopher Clarke","https://media.licdn.com/dms/image/v2/D5603AQF47rBC2NuwqA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1707198907024?e=1756944000&v=beta&t=PGg_iFittojoHeX5gIxHsQKbd1hmO0O3KFoAQ_LYcG4","ACoAAAGRqlgBX6w78mVmcoyrGxTd5jdJ0u6nBfA","https://www.linkedin.com/in/ACoAAAGRqlgBX6w78mVmcoyrGxTd5jdJ0u6nBfA","LIKE"
"1st","Motion Designer | Co-Founder @Kokosh Studio","Ivan Milošević","https://media.licdn.com/dms/image/v2/D4E03AQEFtPHd3K_Kyw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1730984796995?e=1756944000&v=beta&t=KH47dzIuZFxRI_kK4dDKEUhJmSepbj9jeYjvMTK3vlI","ACoAABv7wOYBVf6DqWNe7xNx1tpJ2qcfO5ZsgQU","https://www.linkedin.com/in/ACoAABv7wOYBVf6DqWNe7xNx1tpJ2qcfO5ZsgQU","EMPATHY"
"1st","Creative Director | SaaS Marketing Design Leader | Transforming Creative Vision into Business Value | Advocate for Scalable Brand Systems","Itai Lahav","https://media.licdn.com/dms/image/v2/D4D03AQHzCTGeIbWDjg/profile-displayphoto-shrink_400_400/B4DZP3mXT.G0Ag-/0/1735025852786?e=1756944000&v=beta&t=wpHL4Qa7byQb599oFtWx9GDuEA9Q6KXXJt3BzIM2ods","ACoAAAJkUmcB99zeApM61KU6I6GKz3J087Xoos8","https://www.linkedin.com/in/ACoAAAJkUmcB99zeApM61KU6I6GKz3J087Xoos8","LIKE"
"1st","Senior Motion Designer/Animator","Lyuben Karamarinov","https://media.licdn.com/dms/image/v2/C4E03AQFn2x8M_aX64A/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1655564514672?e=1756944000&v=beta&t=OhUcTILXyevEiz-sfBDuEDzFuElFymljSgTYm_9pgAQ","ACoAABoWrAIBC5GAxY33xvVWhwuFj0ESMtjv7jI","https://www.linkedin.com/in/ACoAABoWrAIBC5GAxY33xvVWhwuFj0ESMtjv7jI","LIKE"
"1st","Communication-first, Design-driven Motion for Brands AE | Blender | Unity | Rive","Sreejith K","https://media.licdn.com/dms/image/v2/D5603AQHZVnvWLr7HUQ/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1719012861053?e=1756944000&v=beta&t=wNWO9ZXmo6Z09JcV_FL-NPGnjPQAxN9QIHrsIPS6oIQ","ACoAACOPhcQB3W12WR3cfkoKSRac9_P4e6yNcdA","https://www.linkedin.com/in/ACoAACOPhcQB3W12WR3cfkoKSRac9_P4e6yNcdA","EMPATHY"
"3rd+","Sr. Manager, Clinical Program Design at Amwell","Jennifer Shoaf Teller MSN, RN","https://media.licdn.com/dms/image/v2/D4E03AQF8Zb9jlcnZJw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1728513123563?e=1756944000&v=beta&t=hh-cIA3a928X5S2_79eEY9RlLZPaIOUUrFeTn0GmE78","ACoAAAhnliUBynfywwCUJOwrfUAwuC5JMrISXuk","https://www.linkedin.com/in/ACoAAAhnliUBynfywwCUJOwrfUAwuC5JMrISXuk","APPRECIATION"
"2nd","Senior Art Director @ Keller Williams Realty, LLC. | Creative Direction","Analilia Morales","https://media.licdn.com/dms/image/v2/D5603AQGFCQp2FQOyOQ/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1718232176501?e=1756944000&v=beta&t=NS8tzzZZfwd2C7EsXvC0AJjw8PSfLzsRQPOSKeeBQZs","ACoAAAigv64B0MvgQNP1oL6ZYEjeRHxsIpESlko","https://www.linkedin.com/in/ACoAAAigv64B0MvgQNP1oL6ZYEjeRHxsIpESlko","LIKE"
"3rd+","Senior Buyer- Supply Chain Management- Procurement- Finance-Mayo Clinic -Creative Outlook - Communications- Artist- Graphic Design","Katie Hasleiet","https://media.licdn.com/dms/image/v2/D5635AQHd-4RyuXxaHw/profile-framedphoto-shrink_400_400/profile-framedphoto-shrink_400_400/0/1722426913913?e=1751990400&v=beta&t=9cBO2vS2wQ1VdRS-uK4UgJygPzldY113nlUZkrFEj-Q","ACoAABTUxbYBjJcXTOrZ78MrlmCpzMdXG4Y5NoY","https://www.linkedin.com/in/ACoAABTUxbYBjJcXTOrZ78MrlmCpzMdXG4Y5NoY","EMPATHY"
"2nd","Brand Designer @ Eli Lilly","Krystal K.","https://media.licdn.com/dms/image/v2/C5603AQGO_kuQ8BNoGA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1609792852396?e=1756944000&v=beta&t=pDTQCcOlYKz4rg2aWecFPEQirMQwKi6Qg4KAdXU-GVI","ACoAAAUYf6EBr3QhEVR1ZCDGcWlZvQjiOIMrvzw","https://www.linkedin.com/in/ACoAAAUYf6EBr3QhEVR1ZCDGcWlZvQjiOIMrvzw","LIKE"
"2nd","Motion Designer - Post Pro","Bagas M.",,"ACoAACQpczgBnXQCMZDTpZNOGQ4E9D066yNNqIY","https://www.linkedin.com/in/ACoAACQpczgBnXQCMZDTpZNOGQ4E9D066yNNqIY","LIKE"
"2nd","Art Director | 3D Generalist","Michael Wynne","https://media.licdn.com/dms/image/v2/D5603AQHi6A14iOU_Fw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1674619722214?e=1756944000&v=beta&t=ob3jnqxUPwQfOk9N-Vcuy3VNmeJY4cMZPVq_0TPhPYA","ACoAAACZXFgBceve263Ty0RiWADF6pp54WY40PY","https://www.linkedin.com/in/ACoAAACZXFgBceve263Ty0RiWADF6pp54WY40PY","LIKE"
"2nd","Digital Designer","Zihyun Kim",,"ACoAACOGqjIBrbXs8CgEtZhhzcfUH4LVw0yA0LA","https://www.linkedin.com/in/ACoAACOGqjIBrbXs8CgEtZhhzcfUH4LVw0yA0LA","LIKE"
"2nd","Creative Director - Experience Design Team at U.S. Bank","Jenna Leskela","https://media.licdn.com/dms/image/v2/D5603AQH41KW86PWuqw/profile-displayphoto-shrink_100_100/B56ZcZkRjRHEAY-/0/1748480629410?e=1756944000&v=beta&t=zNOHYCjhtlXMInprAAJTRul5GpRhJngCC_NSwTQptVU","ACoAAABaVHcBIP7L39XF5FN0sqKOZ8J9x4extss","https://www.linkedin.com/in/ACoAAABaVHcBIP7L39XF5FN0sqKOZ8J9x4extss","LIKE"
"2nd","Head of Motion Design @ ZoomInfo","Ryan Sweeney","https://media.licdn.com/dms/image/v2/D4E03AQHyhkaY_YKhRw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1685884477945?e=1756944000&v=beta&t=Xi7ouQDMvIyJha0NirKn75H6MpzGRoZUavyYhAsX5GY","ACoAAAMb0HcBV_0s4HeqS2Wc7qEogkPV5X01U78","https://www.linkedin.com/in/ACoAAAMb0HcBV_0s4HeqS2Wc7qEogkPV5X01U78","LIKE"
"3rd+","Designer | Branding, UX/UI, Motion Graphics & Webflow","Ognjen Marinkovic","https://media.licdn.com/dms/image/v2/D4D03AQGUEFB_3QufbQ/profile-displayphoto-shrink_400_400/B4DZUFqHv2G8Ak-/0/1739556683108?e=1756944000&v=beta&t=O4jwtm1X5HXiFvZarpUODyvVDOPL2u7THmw6eMVS9FY","ACoAACs9tQEBFmP0DED3PAJn6aNHTXS54bYwvHg","https://www.linkedin.com/in/ACoAACs9tQEBFmP0DED3PAJn6aNHTXS54bYwvHg","LIKE"
"2nd","Digital Designer UI/UX Product","Tatenda Takavarasha","https://media.licdn.com/dms/image/v2/D4E03AQFW8TPol9XeXw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1728813794144?e=1756944000&v=beta&t=u69TggHMoeLFR0-Yd_aQjbNypUBAEAZDrRmWa4zjDR8","ACoAAAdYrH0BqzGrI1RnSdxNIUXHBy796Nq2uq4","https://www.linkedin.com/in/ACoAAAdYrH0BqzGrI1RnSdxNIUXHBy796Nq2uq4","EMPATHY"
"2nd","Art direction, Graphic and Motion design","Mariana Ramirez Uzcategui","https://media.licdn.com/dms/image/v2/D4D35AQGJ6J-qExgIKw/profile-framedphoto-shrink_400_400/profile-framedphoto-shrink_400_400/0/1694532657165?e=1751990400&v=beta&t=7nDXdgLk0MObUFmrGAnfLjwRRTtmT3OwxhTtzS9yeQo","ACoAAANCmH4BqwybPEj6XesscxM_s-HrGy38ZxI","https://www.linkedin.com/in/ACoAAANCmH4BqwybPEj6XesscxM_s-HrGy38ZxI","EMPATHY"
"2nd","Freelance Art Director /Motion Designer || ivanmiguel.com","Ivan Miguel","https://media.licdn.com/dms/image/v2/D5603AQH9txyxK5BjJA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1668728910602?e=1756944000&v=beta&t=x0390ZBaEOcaSPaEGFjCQKugEyP3_Qb7wEwZ-se6X4s","ACoAAAe2u9YBlCInW87IYN9NKAwzm3M-dTsZ5hE","https://www.linkedin.com/in/ACoAAAe2u9YBlCInW87IYN9NKAwzm3M-dTsZ5hE","LIKE"
"2nd","Campaign & Creative Manager | MBA","Gilbert Joseph","https://media.licdn.com/dms/image/v2/D4E03AQH6IWi7LdJipg/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1715923609204?e=1756944000&v=beta&t=ymmXh-OLfhlBH265Y6tDjt25WusRUg1iPnDSRwBBzOM","ACoAABffgioBL2f4u4jGdEJG80iA8vxwrDWiuxY","https://www.linkedin.com/in/ACoAABffgioBL2f4u4jGdEJG80iA8vxwrDWiuxY","PRAISE"
"2nd","Founder & Design Director @ Tennis | UX Design and Strategy | Digital Transformation | Experiential | Brand | Web and Product Design/Development","Symon Oliver","https://media.licdn.com/dms/image/v2/D5603AQGjhINVozmdog/profile-displayphoto-shrink_100_100/B56ZY5YqjbGcAc-/0/1744719489624?e=1756944000&v=beta&t=kmB2C3Bzm8H_wBI4VRqls2N2v_WXpz5xSPm-Uwv1byo","ACoAAAJBDcgBRAkiUr9ZOecX0sm0eZCbJbyfeo8","https://www.linkedin.com/in/ACoAAAJBDcgBRAkiUr9ZOecX0sm0eZCbJbyfeo8","LIKE"
